feature_id,stratum
feat_sae_20260828_080834_39cc_25620,curated_E_homog
feat_sae_20260828_080834_39cc_00829,curated_E_hetero
feat_sae_20260828_080834_39cc_21428,curated_E_mid
feat_sae_20260828_080834_39cc_23640,curated_E_hetero
feat_sae_20260828_080834_39cc_10866,curated_E_hetero
feat_sae_20260828_080834_39cc_19626,curated_E_hetero
feat_sae_20260828_080834_39cc_22290,curated_E_hetero
feat_sae_20260828_080834_39cc_08025,curated_E_hetero
feat_sae_20260828_080834_39cc_16796,curated_E_hetero
feat_sae_20260828_080834_39cc_24831,curated_E_hetero
feat_sae_20260828_080834_39cc_08818,curated_D_mid
feat_sae_20260828_080834_39cc_20118,curated_E_hetero
feat_sae_20260828_080834_39cc_02472,curated_E_hetero
feat_sae_20260828_080834_39cc_23795,curated_E_mid
feat_sae_20260828_080834_39cc_09800,curated_E_hetero
feat_sae_20260828_080834_39cc_20191,curated_D_mid
feat_sae_20260828_080834_39cc_00610,curated_E_hetero
feat_sae_20260828_080834_39cc_09518,curated_E_hetero
feat_sae_20260828_080834_39cc_11147,curated_E_mid
feat_sae_20260828_080834_39cc_23080,curated_E_mid
feat_sae_20260828_080834_39cc_15093,curated_D_hetero
feat_sae_20260828_080834_39cc_10924,curated_D_hetero
feat_sae_20260828_080834_39cc_21021,curated_D_hetero
feat_sae_20260828_080834_39cc_02475,curated_E_hetero
feat_sae_20260828_080834_39cc_21179,reference
feat_sae_20260828_080834_39cc_10620,curated_E_hetero
feat_sae_20260828_080834_39cc_25990,curated_E_hetero
feat_sae_20260828_080834_39cc_19975,curated_E_hetero
feat_sae_20260828_080834_39cc_04314,curated_E_homog
feat_sae_20260828_080834_39cc_30656,curated_E_hetero
feat_sae_20260828_080834_39cc_00533,curated_E_hetero
feat_sae_20260828_080834_39cc_18380,curated_E_mid
feat_sae_20260828_080834_39cc_10009,curated_E_hetero
feat_sae_20260828_080834_39cc_02213,curated_E_hetero
feat_sae_20260828_080834_39cc_22881,curated_D_hetero
feat_sae_20260828_080834_39cc_16700,curated_E_homog
feat_sae_20260828_080834_39cc_11775,curated_E_hetero
feat_sae_20260828_080834_39cc_03339,curated_D_hetero
feat_sae_20260828_080834_39cc_01194,curated_E_hetero
feat_sae_20260828_080834_39cc_21165,curated_E_mid
feat_sae_20260828_080834_39cc_25165,curated_E_hetero
feat_sae_20260828_080834_39cc_00236,curated_D_hetero
feat_sae_20260828_080834_39cc_11574,curated_E_hetero
feat_sae_20260828_080834_39cc_13014,curated_E_hetero
feat_sae_20260828_080834_39cc_25426,curated_E_homog
feat_sae_20260828_080834_39cc_26621,curated_E_hetero
feat_sae_20260828_080834_39cc_11705,curated_E_hetero
feat_sae_20260828_080834_39cc_13339,curated_D_hetero
feat_sae_20260828_080834_39cc_17851,curated_E_hetero
feat_sae_20260828_080834_39cc_00613,curated_E_hetero
feat_sae_20260828_080834_39cc_17451,curated_E_mid
feat_sae_20260828_080834_39cc_23780,curated_E_hetero
feat_sae_20260828_080834_39cc_09643,curated_D_hetero
feat_sae_20260828_080834_39cc_15716,curated_E_hetero
feat_sae_20260828_080834_39cc_26952,curated_E_hetero
feat_sae_20260828_080834_39cc_14715,curated_E_mid
feat_sae_20260828_080834_39cc_03165,curated_E_hetero
feat_sae_20260828_080834_39cc_17463,curated_D_hetero
feat_sae_20260828_080834_39cc_09204,curated_E_hetero
feat_sae_20260828_080834_39cc_01238,curated_E_hetero
feat_sae_20260828_080834_39cc_16086,curated_E_homog
feat_sae_20260828_080834_39cc_04315,curated_D_hetero
feat_sae_20260828_080834_39cc_26578,curated_E_hetero
feat_sae_20260828_080834_39cc_30263,curated_E_mid
feat_sae_20260828_080834_39cc_27910,curated_E_mid
feat_sae_20260828_080834_39cc_09289,curated_E_hetero
feat_sae_20260828_080834_39cc_11459,curated_E_hetero
feat_sae_20260828_080834_39cc_15222,curated_E_homog
feat_sae_20260828_080834_39cc_08908,curated_D_hetero
feat_sae_20260828_080834_39cc_19356,curated_D_hetero
feat_sae_20260828_080834_39cc_28944,curated_E_hetero
feat_sae_20260828_080834_39cc_02615,curated_E_hetero
feat_sae_20260828_080834_39cc_13080,curated_E_hetero
feat_sae_20260828_080834_39cc_11326,curated_E_hetero
feat_sae_20260828_080834_39cc_14898,curated_E_mid
feat_sae_20260828_080834_39cc_29078,curated_E_hetero
feat_sae_20260828_080834_39cc_29747,reference
feat_sae_20260828_080834_39cc_15101,curated_E_hetero
feat_sae_20260828_080834_39cc_05252,curated_E_hetero
feat_sae_20260828_080834_39cc_21593,curated_E_hetero
feat_sae_20260828_080834_39cc_14888,curated_D_hetero
feat_sae_20260828_080834_39cc_21204,curated_E_hetero
feat_sae_20260828_080834_39cc_01123,curated_E_homog
feat_sae_20260828_080834_39cc_19821,curated_D_hetero
feat_sae_20260828_080834_39cc_16704,curated_E_hetero
feat_sae_20260828_080834_39cc_16502,curated_E_homog
feat_sae_20260828_080834_39cc_19896,curated_E_homog
feat_sae_20260828_080834_39cc_14346,curated_E_hetero
feat_sae_20260828_080834_39cc_08552,curated_E_hetero
feat_sae_20260828_080834_39cc_04540,curated_E_hetero
feat_sae_20260828_080834_39cc_06446,curated_E_hetero
feat_sae_20260828_080834_39cc_11127,curated_E_hetero
feat_sae_20260828_080834_39cc_21114,curated_E_hetero
feat_sae_20260828_080834_39cc_00021,curated_D_hetero
feat_sae_20260828_080834_39cc_29634,curated_E_mid
feat_sae_20260828_080834_39cc_10303,curated_E_hetero
feat_sae_20260828_080834_39cc_13835,curated_E_hetero
feat_sae_20260828_080834_39cc_09186,curated_E_mid
feat_sae_20260828_080834_39cc_02972,curated_D_hetero
feat_sae_20260828_080834_39cc_13772,curated_E_hetero
feat_sae_20260828_080834_39cc_04863,curated_E_hetero
feat_sae_20260828_080834_39cc_28781,curated_E_hetero
feat_sae_20260828_080834_39cc_29479,curated_E_hetero
feat_sae_20260828_080834_39cc_15570,curated_E_hetero
feat_sae_20260828_080834_39cc_00556,curated_E_hetero
feat_sae_20260828_080834_39cc_26207,curated_E_hetero
feat_sae_20260828_080834_39cc_13869,curated_E_hetero
feat_sae_20260828_080834_39cc_09326,curated_D_hetero
feat_sae_20260828_080834_39cc_23646,curated_E_hetero
feat_sae_20260828_080834_39cc_26711,curated_E_hetero
feat_sae_20260828_080834_39cc_16570,curated_E_homog
feat_sae_20260828_080834_39cc_18785,curated_E_hetero
feat_sae_20260828_080834_39cc_21462,curated_E_mid
feat_sae_20260828_080834_39cc_22961,curated_E_hetero
feat_sae_20260828_080834_39cc_10719,curated_D_hetero
feat_sae_20260828_080834_39cc_00010,curated_E_hetero
feat_sae_20260828_080834_39cc_19783,curated_E_hetero
feat_sae_20260828_080834_39cc_07411,curated_E_hetero
feat_sae_20260828_080834_39cc_22485,curated_E_hetero
feat_sae_20260828_080834_39cc_07186,curated_D_hetero
feat_sae_20260828_080834_39cc_03613,curated_E_mid
feat_sae_20260828_080834_39cc_00017,curated_E_hetero
feat_sae_20260828_080834_39cc_25805,curated_D_mid
feat_sae_20260828_080834_39cc_10111,curated_E_hetero
feat_sae_20260828_080834_39cc_03456,curated_E_hetero
feat_sae_20260828_080834_39cc_15713,curated_E_hetero
feat_sae_20260828_080834_39cc_06205,curated_D_hetero
feat_sae_20260828_080834_39cc_24828,curated_E_hetero
feat_sae_20260828_080834_39cc_16360,curated_E_hetero
